Date,Time,Observer,Where,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
11/13,5:40:00 PM,Bradley,M,6,9,4,8,7,10,6,6,8,11,5,7,10,8,9
11/13,12:00:00 PM,Bradley,R,8,5,6,9,7,11,9,111,5,9,6,10,9,11,7
11/13,12:20:00 PM,Bradley,R,6,4,7,6,6,9,5,9,4,7,10,6,9,13,11
11/13,12:40:00 PM,Bradley,M,7,5,7,11,7,4,14,11,7,5,9,10,4,7,3
11/13,1:00:00 PM,Bradley,L,4,8,6,7,10,7,5,8,9,5,6,9,4,6,7
11/12,5:00:00 PM,Nicole,L,15,20,18,16,17,11,15,15,17,15,16,14,15,19,14
11/12,5:20:00 PM,Nicole,M,16,17,15,17,25,20,15,13,18,16,15,13,13,14,19
11/12,5:40:00 PM,Nicole,R,16,11,12,14,16,11,13,13,13,14,17,23,15,18,21
11/12,12:00:00 PM,Nicole,R,13,14,14,16,14,22,17,14,14,13,14,15,13,13,17
11/12,12:20:00 PM,Nicole,M,5,10,10,11,12,11,9,9,11,14,11,11,13,7,7
11/2,12:40:00 PM,Nicole,L,11,7,9,7,8,10,8,6,7,8,6,5,7,7,11
11/14,9:00:00 AM,Monica,L,3,5,4,4,2,2,5,3,7,8,4,3,4,5,3
11/14,9:20:00 AM,Monica,M,3,1,4,4,5,6,4,5,6,3,4,3,5,4,3
11/14,9:40:00 AM,Monica,R,3,4,7,5,8,9,8,7,5,6,6,8,10,9,7
11/6,1:00:00 PM,Hannah,R,1,1,5,8,1,5,3,7,1,0,3,3,4,6,3
11/6,1:20:00 PM,Hannah,R,0,1,2,1,4,2,9,1,2,4,1,2,3,2,0
11/6,1:40:00 PM,Hannah,R,2,0,2,1,1,1,3,0,2,2,2,3,1,2,1
11/6,2:00:00 PM,Hannah,R,2,0,0,2,4,2,1,2,0,2,2,1,0,1,2
11/8,1:40:00 PM,Hannah,L,2,2,3,3,2,1,2,2,1,4,2,0,2,1,
11/8,2:00:00 PM,Hannah,L,0,0,1,0,0,2,1,3,1,3,0,2,4,1,2
11/8,2:20:00 PM,Hannah,L,1,1,1,4,1,2,1,2,0,1,2,1,3,3,2
11/10,5:20:00 PM,Hannah,R,3,4,5,5,6,5,3,4,5,1,2,1,1,5,3
11/10,5:40:00 PM,Hannah,R,3,2,5,5,2,9,7,3,8,6,3,5,4,4,2
11/10,12:00:00 PM,Hannah,R,3,2,1,1,4,3,3,1,5,3,3,2,4,3,4
11/10,12:20:00 PM,Hannah,M,1,3,5,4,4,5,6,3,3,4,3,2,3,2,4
11/10,12:40:00 PM,Hannah,M,0,0,0,4,1,0,1,0,1,3,5,4,4,5,3
11/10,1:00:00 PM,Hannah,M,1,4,1,2,3,1,2,5,1,4,2,0,3,5,2
11/10,1:20:00 PM,Hannah,L,1,3,1,0,1,1,2,0,5,3,0,2,0,2,2
11/10,1:40:00 PM,Hannah,L,1,0,1,0,0,0,0,2,1,3,1,1,2,2,0
11/10,2:00:00 PM,Hannah,L,1,1,0,2,0,0,1,0,4,2,1,3,1,1,0
